"filename", "language", "JSON", "Django HTML", "Markdown", "TypeScript", "JSON with Comments", "XML", "TypeScript JSX", "Rust", "SQL", "CSS", "YAML", "comment", "blank", "total"
"c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\.github\FUNDING.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\.github\ISSUE_TEMPLATE\bug.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 1, 5, 46
"c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\.github\ISSUE_TEMPLATE\improvement.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 1, 13
"c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\.github\workflows\prerelease.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 55, 0, 9, 64
"c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\.github\workflows\release.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 0, 10, 60
"c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\.github\workflows\test.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 7, 37
"c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\CONTRIBUTING.md", "Markdown", 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 74
"c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\README.md", "Markdown", 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 56
"c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\biome.json", "JSON", 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32
"c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\index.html", "Django HTML", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12
"c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\package-lock.json", "JSON", 9234, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9235
"c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\package.json", "JSON", 98, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 99
"c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\pnpm-lock.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5044, 0, 1404, 6448
"c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\public\board\blue.svg", "XML", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 1, 21
"c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\public\board\brown.svg", "XML", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 1, 21
"c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\public\board\gray.svg", "XML", 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 19
"c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\public\board\green.svg", "XML", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 1, 21
"c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\public\board\ic.svg", "XML", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 1, 21
"c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\public\board\newspaper.svg", "XML", 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 1, 26
"c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\public\board\purple.svg", "XML", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 1, 21
"c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\public\pieces\alpha.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 1, 13
"c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\public\pieces\anarcandy.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 1, 13
"c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\public\pieces\california.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 1, 13
"c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\public\pieces\cardinal.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 1, 13
"c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\public\pieces\cburnett.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 1, 13
"c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\public\pieces\chess7.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 1, 13
"c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\public\pieces\chessnut.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 1, 13
"c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\public\pieces\companion.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 1, 13
"c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\public\pieces\disguised.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 12
"c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\public\pieces\dubrovny.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 1, 13
"c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\public\pieces\fantasy.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 1, 13
"c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\public\pieces\fresca.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 1, 13
"c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\public\pieces\gioco.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 1, 13
"c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\public\pieces\governor.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 1, 13
"c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\public\pieces\horsey.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 1, 13
"c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\public\pieces\icpieces.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 1, 13
"c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\public\pieces\kosal.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 1, 13
"c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\public\pieces\leipzig.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 1, 13
"c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\public\pieces\letter.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 1, 13
"c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\public\pieces\libra.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 1, 13
"c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\public\pieces\maestro.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 1, 13
