Date : 2024-07-04 15:30:10
Directory : c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master
Total : 273 files,  49635 codes, 272 comments, 4170 blanks, all 54077 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| TypeScript JSX     |        132 |     19,122 |         59 |      1,315 |     20,496 |
| JSON               |          5 |     13,469 |          0 |          3 |     13,472 |
| TypeScript         |         65 |      6,574 |        171 |        682 |      7,427 |
| YAML               |          7 |      5,232 |          1 |      1,436 |      6,669 |
| Rust               |         17 |      4,358 |         37 |        612 |      5,007 |
| CSS                |         33 |        556 |          4 |         62 |        622 |
| XML                |          7 |        144 |          0 |          6 |        150 |
| Markdown           |          2 |         85 |          0 |         45 |        130 |
| SQL                |          3 |         60 |          0 |          7 |         67 |
| JSON with Comments |          1 |         24 |          0 |          1 |         25 |
| Django HTML        |          1 |         11 |          0 |          1 |         12 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                         | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                            |        273 |     49,635 |        272 |      4,170 |     54,077 |
| . (Files)                                                                                                                                    |          9 |     14,557 |          2 |      1,456 |     16,015 |
| .github                                                                                                                                      |          6 |        188 |          1 |         32 |        221 |
| .github (Files)                                                                                                                              |          1 |          1 |          0 |          0 |          1 |
| .github\ISSUE_TEMPLATE                                                                                                                       |          2 |         52 |          1 |          6 |         59 |
| .github\workflows                                                                                                                            |          3 |        135 |          0 |         26 |        161 |
| public                                                                                                                                       |         37 |        504 |          0 |         35 |        539 |
| public\board                                                                                                                                 |          7 |        144 |          0 |          6 |        150 |
| public\pieces                                                                                                                                |         30 |        360 |          0 |         29 |        389 |
| src                                                                                                                                          |        200 |     29,849 |        232 |      2,028 |     32,109 |
| src (Files)                                                                                                                                  |          4 |        284 |         51 |         46 |        381 |
| src-tauri                                                                                                                                    |         21 |      4,537 |         37 |        619 |      5,193 |
| src-tauri (Files)                                                                                                                            |          2 |        122 |          0 |          0 |        122 |
| src-tauri\src                                                                                                                                |         19 |      4,415 |         37 |        619 |      5,071 |
| src-tauri\src (Files)                                                                                                                        |         10 |      2,114 |          5 |        318 |      2,437 |
| src-tauri\src\db                                                                                                                             |          9 |      2,301 |         32 |        301 |      2,634 |
| src\bindings                                                                                                                                 |          2 |        262 |         66 |         14 |        342 |
| src\chessground                                                                                                                              |          1 |         72 |          0 |          8 |         80 |
| src\components                                                                                                                               |        146 |     22,679 |         57 |      1,313 |     24,049 |
| src\components (Files)                                                                                                                       |          6 |        390 |          0 |         34 |        424 |
| src\components\boards                                                                                                                        |         18 |      3,157 |         41 |        236 |      3,434 |
| src\components\common                                                                                                                        |         22 |      1,773 |          1 |        134 |      1,908 |
| src\components\databases                                                                                                                     |         20 |      6,402 |          2 |        154 |      6,558 |
| src\components\engines                                                                                                                       |          4 |      1,032 |          6 |         54 |      1,092 |
| src\components\files                                                                                                                         |          7 |      1,065 |          2 |         96 |      1,163 |
| src\components\home                                                                                                                          |          9 |      1,302 |          2 |         94 |      1,398 |
| src\components\panels                                                                                                                        |         36 |      4,559 |          0 |        323 |      4,882 |
| src\components\panels\analysis                                                                                                               |         17 |      2,092 |          0 |        138 |      2,230 |
| src\components\panels\annotation                                                                                                             |          2 |        197 |          0 |         18 |        215 |
| src\components\panels\database                                                                                                               |          8 |        886 |          0 |         64 |        950 |
| src\components\panels\database (Files)                                                                                                       |          5 |        516 |          0 |         42 |        558 |
| src\components\panels\database\options                                                                                                       |          3 |        370 |          0 |         22 |        392 |
| src\components\panels\info                                                                                                                   |          7 |        817 |          0 |         67 |        884 |
| src\components\panels\practice                                                                                                               |          2 |        567 |          0 |         36 |        603 |
| src\components\puzzles                                                                                                                       |          3 |        646 |          0 |         36 |        682 |
| src\components\settings                                                                                                                      |         13 |      1,275 |          2 |         79 |      1,356 |
| src\components\tabs                                                                                                                          |          8 |      1,078 |          1 |         73 |      1,152 |
| src\routes                                                                                                                                   |          8 |        274 |          0 |         31 |        305 |
| src\routes (Files)                                                                                                                           |          6 |        251 |          0 |         27 |        278 |
| src\routes\databases                                                                                                                         |          2 |         23 |          0 |          4 |         27 |
| src\state                                                                                                                                    |          4 |      1,263 |         38 |        143 |      1,444 |
| src\styles                                                                                                                                   |          6 |        268 |          7 |         45 |        320 |
| src\translation                                                                                                                              |          3 |      1,022 |          0 |         48 |      1,070 |
| src\utils                                                                                                                                    |         26 |      3,725 |         13 |        380 |      4,118 |
| src\utils (Files)                                                                                                                            |         16 |      2,207 |         10 |        218 |      2,435 |
| src\utils\chess.com                                                                                                                          |          2 |        261 |          0 |         30 |        291 |
| src\utils\chessdb                                                                                                                            |          1 |        138 |          0 |         20 |        158 |
| src\utils\lichess                                                                                                                            |          2 |        524 |          3 |         43 |        570 |
